group,code,Gobierno,Padres,Benefactores,Otros
Albania,ALB,71.46056782334385,15.817034700315457,9.35646687697161,3.365930599369085
Argentina,ARG,63.27228202642722,25.029335237998062,9.356665476251212,2.3417172593235036
Australia,AUS,76.11836432126594,21.601791198317727,1.1694225503396318,1.1104219300767009
Austria,AUT,90.89860139860139,7.223776223776222,0.7412587412587411,1.1363636363636362
B-S-J-Z (China),CHN,82.83102493074793,15.418282548476455,0.4653739612188367,1.2853185595567869
Baku (Azerbaijan),AZE,90.93965517241378,3.0172413793103443,2.025862068965517,4.017241379310345
Belarus,BLR,88.87606837606837,3.632478632478633,5.260683760683761,2.230769230769231
Belgium,BEL,,,,
Bosnia and Herzegovina,BIH,92.86854460093896,3.4741784037558685,1.1830985915492958,2.4741784037558685
Brazil,BRA,85.39999999999999,11.039639639639642,2.111711711711712,1.448648648648649
Brunei Darussalam,BRN,51.07272727272727,34.054545454545455,2.672727272727273,12.2
Bulgaria,BGR,97.38624338624338,0.8465608465608464,0.7460317460317459,1.021164021164021
Canada,CAN,88.6299112801014,9.006337135614702,1.7629911280101396,0.6007604562737643
Chile,CHL,66.59656652360515,31.673819742489272,0.6652360515021459,1.0643776824034334
Chinese Taipei,TWN,67.62790697674419,26.94767441860465,2.3488372093023258,3.0755813953488373
Colombia,COL,74.13877551020408,20.922448979591838,0.6122448979591837,4.326530612244897
Costa Rica,CRI,74.3219512195122,15.53170731707317,2.5317073170731708,7.614634146341463
Croatia,HRV,91.84180790960451,2.2937853107344632,1.0677966101694913,4.796610169491524
Czech Republic,CZE,95.39751552795032,2.5807453416149073,0.7142857142857144,1.3074534161490685
Denmark,DNK,91.46691176470588,8.117647058823529,0.0661764705882353,0.349264705882353
Dominican Republic,DOM,77.83582089552239,18.965174129353237,2.0348258706467663,1.164179104477612
Estonia,EST,97.28695652173914,1.3695652173913044,0.2347826086956522,1.1086956521739129
Finland,FIN,99.69483568075118,0.09389671361502348,0.04694835680751174,0.1643192488262911
France,FRA,86.09045226130654,9.733668341708542,0.8341708542713568,3.341708542713568
Georgia,GEO,89.40445859872611,8.331210191082802,0.14968152866242038,2.1146496815286624
Germany,DEU,95.94652406417111,0.6737967914438502,2.2299465240641707,1.1497326203208555
Greece,GRC,80.61904761904762,5.3809523809523805,1.9004329004329004,12.0995670995671
Hong Kong,HKG,91.4070796460177,7.115044247787612,1.247787610619469,0.23008849557522126
Hungary,HUN,95.85840707964601,0.30530973451327437,0.8230088495575222,3.0132743362831858
Iceland,ISL,99.45736434108527,0.41860465116279066,0.12403100775193797,0.0
Indonesia,IDN,77.98376623376623,17.65909090909091,2.707792207792208,1.6493506493506493
Ireland,IRL,,,,
Israel,ISR,,,,
Italy,ITA,60.99212598425196,20.816929133858267,2.72244094488189,15.468503937007874
Japan,JPN,69.24590163934425,16.58469945355191,1.2950819672131146,12.874316939890706
Jordan,JOR,58.88733266017393,22.676785772450405,8.045340542653335,10.390541024722319
Kazakhstan,KAZ,92.21428571428571,5.746753246753245,1.4448051948051945,0.594155844155844
Korea,KOR,68.07435186694929,27.452578944507856,1.5272569161367466,2.945812272406109
Kosovo,KSV,94.8825761460363,1.4460055378935492,1.635729668751923,2.035688647318224
Latvia,LVA,96.73266002274094,1.1771787840278238,0.3377700488261654,1.7523911444050564
Lebanon,LBN,26.382352941176475,59.6529411764706,6.988235294117648,6.976470588235293
Lithuania,LTU,95.48055555555557,1.9444444444444449,1.4583333333333335,1.116666666666667
Luxembourg,LUX,90.58139534883722,6.6976744186046515,0.27906976744186046,2.441860465116279
Macao,MAC,90.0,7.2666666666666675,0.6222222222222222,2.111111111111111
Malaysia,MYS,77.57142857142857,11.243386243386242,8.216931216931217,2.9682539682539684
Malta,MLT,68.81250000000001,19.916666666666664,8.958333333333336,2.3125000000000004
Mexico,MEX,41.24199288256228,49.95017793594306,5.569395017793594,3.2384341637010676
Moldova,MDA,93.35042735042735,1.5085470085470087,0.9316239316239319,4.20940170940171
Montenegro,MNE,88.77049180327869,2.6721311475409837,1.6065573770491801,6.950819672131148
Morocco,MAR,57.845238095238095,35.208333333333336,5.678571428571429,1.2678571428571428
Moscow Region (RUS),,98.90163934426229,0.49180327868852464,0.22950819672131148,0.3770491803278689
Netherlands,NLD,94.42857142857143,3.9183673469387754,0.06802721088435373,1.5850340136054422
New Zealand,NZL,81.06043956043956,13.851648351648352,2.269230769230769,2.818681318681319
North Macedonia,MKD,85.55600594514254,9.26901770031077,0.16214025131738954,5.012836103229294
Norway,NOR,,,,
Panama,PAN,69.20855614973263,23.839572192513366,3.834224598930481,3.117647058823529
Peru,PER,44.112094395280245,36.74631268436579,4.7463126843657815,14.395280235988203
Philippines,PHL,79.34408602150538,13.580645161290322,5.82258064516129,1.2526881720430108
Poland,POL,96.80833333333332,2.3708333333333336,0.5125000000000001,0.30833333333333335
Portugal,PRT,86.15730337078652,6.382022471910112,0.8913857677902622,6.569288389513109
Qatar,QAT,57.234042553191486,37.95212765957447,1.3404255319148937,3.4734042553191493
Romania,ROU,96.81875,0.7312500000000001,1.15,1.3
Russian Federation,RUS,97.76612903225806,1.157258064516129,0.5241935483870969,0.5524193548387097
Saudi Arabia,SAU,80.74359354169752,12.257443341727152,1.1924159383794994,5.806547178195823
Serbia,SRB,90.80645161290322,2.9677419354838706,2.306451612903225,3.9193548387096766
Singapore,SGP,78.68292682926828,18.573170731707314,1.9390243902439022,0.8048780487804879
Slovak Republic,SVK,96.87464387464388,0.8974358974358974,0.6837606837606838,1.5441595441595442
Slovenia,SVN,93.14556962025316,3.1297468354430378,0.7088607594936708,3.0158227848101262
Spain,ESP,84.61127308066084,10.411078717201166,2.639455782312925,2.338192419825073
Sweden,SWE,,,,
Switzerland,CHE,89.96000000000001,9.146666666666668,0.688888888888889,0.20444444444444446
Tatarstan (RUS),THA,97.64435146443515,0.7071129707112971,0.39748953974895396,1.2510460251046025
Thailand,TUR,76.80689655172414,17.741379310344826,3.7034482758620686,1.7482758620689653
Turkey,UKR,68.50537634408602,12.333333333333336,7.172043010752689,11.989247311827958
Ukraine,,88.71463977437826,3.70908469361593,6.721647722416887,0.854627809588924
United Arab Emirates,ARE,40.848888888888894,56.30518518518518,1.7066666666666668,1.1392592592592594
United Kingdom,GBR,93.85233160621763,5.572538860103628,0.4404145077720208,0.13471502590673576
United States,USA,90.09090909090911,6.552447552447554,1.9370629370629375,1.4195804195804198
Uruguay,URY,77.93650793650795,16.460317460317462,3.5873015873015874,2.0158730158730163
Vietnam,,82.31972789115648,15.394557823129254,1.3809523809523812,0.9047619047619049
