name,code,rank,Lectura,Matemáticas,Ciencias
Albania,ALB,419.792538402223,405,437,417
Argentina,ARG,395.009456931233,402,379,404
Australia,AUS,498.985437451719,503,491,503
Austria,AUT,491.038440488302,484,499,490
B-S-J-Z (China),CHN,579.027493995812,555,591,590
Baku (Azerbaijan),AZE,402.227009292144,389,420,398
Belarus,BLR,472.305757544331,474,472,471
Belgium,BEL,499.902623994174,493,508,499
Bosnia and Herzegovina,BIH,402.619963973593,403,406,398
Brazil,BRA,400.021127485002,413,384,404
Brunei Darussalam,BRN,423.055760880716,408,430,431
Bulgaria,BGR,426.652720021832,420,436,424
Canada,CAN,516.700041575713,520,512,518
Chile,CHL,437.753891290768,452,417,444
Chinese Taipei,TWN,516.49757053886,503,531,516
Colombia,COL,405.51678358961,412,391,413
Costa Rica,CRI,414.817081862098,426,402,416
Croatia,HRV,471.852014908643,479,464,472
Cyprus,CYP,438.016496959586,424,451,439
Czech Republic,CZE,495.492592097141,490,499,497
Denmark,DNK,501.055113892878,501,509,493
Dominican Republic,DOM,334.118704592234,342,325,336
Estonia,EST,525.513201043455,523,523,530
Finland,FIN,516.421557679129,520,507,522
France,FRA,493.663710845152,493,495,493
Georgia,GEO,386.667500737444,380,398,383
Germany,DEU,500.437313587255,498,500,503
Greece,GRC,453.47249338119,457,451,452
Hong Kong (China),HKG,530.707840326396,524,551,517
Hungary,HUN,479.327000838353,476,481,481
Iceland,ISL,481.395266481267,474,495,475
Indonesia,IDN,381.901188607318,371,379,396
Ireland,IRL,504.608304948218,518,500,496
Israel,ISR,465.215453190381,470,463,462
Italy,ITA,476.962087946366,476,487,468
Japan,JPN,519.988241504131,504,527,529
Jordan,JOR,416.025881298662,419,400,429
Kazakhstan,KAZ,402.386747609543,387,423,397
Korea,KOR,519.664181713754,514,526,519
Kosovo,KSV,361.27759553404,353,366,365
Latvia,LVA,487.358530999851,479,496,487
Lebanon,LBN,376.840788241987,353,393,384
Lithuania,LTU,479.7105602644,476,481,482
Luxembourg,LUX,476.725426725701,470,483,477
Macao (China),MAC,542.124044217273,525,558,544
Malaysia,MYS,430.935041482648,415,440,438
Malta,MLT,458.849832729732,448,472,457
Mexico,MEX,416.158361650429,420,409,419
Moldova,MDA,424.360743753827,424,421,428
Montenegro,MNE,421.947115846129,421,430,415
Morocco,MAR,367.904042635216,359,368,377
Netherlands,NLD,502.466175643798,485,519,503
New Zealand,NZL,502.902560276956,506,494,508
North Macedonia,MKD,400.053091037012,393,394,413
Norway,NOR,496.942631365088,499,501,490
Panama,PAN,364.813781596185,377,353,365
Peru,PER,401.522326983991,401,400,404
Philippines,PHL,349.730660820998,340,353,357
Poland,POL,512.846377324391,512,516,511
Portugal,PRT,491.98850659994,492,492,492
Qatar,QAT,413.482555034959,407,414,419
Romania,ROU,427.793733357038,428,430,426
Russia,RUS,481.335384420144,479,488,478
Saudi Arabia,SAU,386.212202914314,399,373,386
Serbia,SRB,442.541095798968,439,448,440
Singapore,SGP,556.469795933259,549,569,551
Slovak Republic,SVK,469.398799794784,458,486,464
Slovenia,SVN,503.749901709861,495,509,507
Spain,ESP,480.381551748417,477,481,483
Sweden,SWE,502.539204243319,506,502,499
Switzerland,CHE,498.173468730168,484,515,495
Thailand,THA,412.419197158359,393,419,426
Turkey,TUR,462.479687043439,466,454,468
Ukraine,UKR,462.685129822683,466,453,469
United Arab Emirates,ARE,433.45527474474,432,435,434
United Kingdom,GBR,503.455160741704,504,502,505
United States,USA,495.325839944545,505,478,502
Uruguay,URY,423.530637334029,427,418,426
